Selected, Category, Month, Day, Date, Name
FALSE, Other, January, 1, 1-Jan-14, New Years Day
FALSE, Other, January, 2, 2-Jan-14, 
FALSE, Other, January, 3, 3-Jan-14, William Passavant (Episcopal Church (USA)
FALSE, Other, January, 4, 4-Jan-14, 
FALSE, Other, January, 5, 5-Jan-14, National Bird Day
FALSE, Other, January, 6, 6-Jan-14, Swathi Sangitholsavam
FALSE, Other, January, 7, 7-Jan-14, Guru Gobind Singh Ji Gurpurab
FALSE, Other, January, 8, 8-Jan-14, 
FALSE, Other, January, 9, 9-Jan-14, Julia Chester Emery (Episcopal Church (USA))
FALSE, Other, January, 9, 9-Jan-14, NRI Day
FALSE, Other, January, 10, 10-Jan-14, World Laughter Day
FALSE, Other, January, 11, 11-Jan-14, 
FALSE, Other, January, 12, 12-Jan-14, Swami Vivekananda Birthday
FALSE, Other, January, 12, 12-Jan-14, National Youth Day (India)
FALSE, Other, January, 13, 13-Jan-14, Bhogi
FALSE, Other, January, 13, 13-Jan-14, Korean American Day (some U.S. states)
FALSE, Other, January, 14, 14-Jan-14, Sankranthi
FALSE, Other, January, 14, 14-Jan-14, Mawlid
FALSE, Other, January, 14, 14-Jan-14, Pongal
FALSE, Other, January, 15, 15-Jan-14, Kanuma
FALSE, Other, January, 15, 15-Jan-14, Army Day
FALSE, Other, January, 15, 15-Jan-14, Thiruvalluvar Day
FALSE, Other, January, 16, 16-Jan-14, Uzhavar Tirunal
FALSE, Other, January, 17, 17-Jan-14, Bihu
FALSE, Other, January, 17, 17-Jan-14, Thaipusam 
FALSE, Other, January, 18, 18-Jan-14, 
FALSE, Other, January, 19, 19-Jan-14, Feast of St. Sebastian in St. Mary’s Forane Church,  Athirampuzha
FALSE, Other, January, 19, 19-Jan-14, Birthday of Edgar Allan Poe
FALSE, Other, January, 19, 19-Jan-14, Robert E. Lee Day
FALSE, Other, January, 20, 20-Jan-14, Arthungal Perunnal 
FALSE, Other, January, 20, 20-Jan-14, Inauguration Day (United States of America)
FALSE, Other, January, 21, 21-Jan-14, National Hug Day (United States)
FALSE, Other, January, 22, 22-Jan-14, 
FALSE, Other, January, 23, 23-Jan-14, Netaji Subhas Chandra Bos Jayanthi
FALSE, Other, January, 23, 23-Jan-14, National Pie Day (United States of America)
FALSE, Other, January, 23, 23-Jan-14, National Handwriting Day
FALSE, Other, January, 24, 24-Jan-14, National Readathon Day
FALSE, Other, January, 24, 24-Jan-14, National Girl Child Day (India)
FALSE, Other, January, 24, 24-Jan-14, Li Tim-Oi (Episcopal Church (USA))
FALSE, Other, January, 25, 25-Jan-14, Himachal Pradesh Indipendence day
FALSE, Other, January, 25, 25-Jan-14, National Voters' Day (India)
FALSE, Other, January, 26, 26-Jan-14, Republic Day (India)
FALSE, Other, January, 26, 26-Jan-14, International Customs Day
